Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2017-02-07 00:00:00	1016.094	1050.018	1015.497	1046.74	52.18	54150.51	1037.77
2017-02-08 00:00:00	1046.74	1063.725	1009.925	1045.735	44.91	46933.83	1044.96
2017-02-09 00:00:00	1045.735	1072.145	895.5	982.065	58.4	58799.01	1006.83
2017-02-10 00:00:00	981.07	999.965	897.622	990.315	49.01	47450.99	968.25
2017-02-11 00:00:00	990.315	1004.95	979.535	996.492	31.77	31625.69	995.55
2017-02-12 00:00:00	996.492	999.975	988.999	991.518	25.42	25252.2	993.55
2017-02-13 00:00:00	991.518	999.179	971.12	991.653	39.32	38921.43	989.91
2017-02-14 00:00:00	991.653	1013.696	985.045	1006.159	8.61	8611.88	1000.53
2017-02-15 00:00:00	1006.721	1015.443	997.066	1013.782	13.02	13132.09	1008.45
2017-02-16 00:00:00	1012.744	1043.688	1008.861	1037.345	21.08	21690.57	1028.95
2017-02-17 00:00:00	1033.142	1054.69	1025.298	1044.769	20.32	21149.15	1040.88
2017-02-18 00:00:00	1044.769	1061.347	1040.725	1050.559	7.64	8064.78	1055.38
2017-02-19 00:00:00	1048.404	1057.439	1035.185	1049.326	7.19	7522.41	1046.05
2017-02-20 00:00:00	1048.408	1079.994	1032.228	1079.539	37.24	39351.58	1056.69
2017-02-21 00:00:00	1079.539	1123.403	1072.639	1119.759	63.21	69007.1	1091.7
2017-02-22 00:00:00	1119.759	1129.534	1098.056	1115.297	37.02	41360.2	1117.21
2017-02-23 00:00:00	1117.132	1185.238	1112.203	1173.85	55.9	63919.53	1143.5
2017-02-24 00:00:00	1176.274	1215.126	1100.435	1177.662	119.04	138868.66	1166.54
2017-02-25 00:00:00	1176.996	1180.109	1117.86	1142.021	44.2	50799.61	1149.38
2017-02-26 00:00:00	1142.021	1179.034	1125.303	1169.118	22.37	25888.17	1157.4
2017-02-27 00:00:00	1169.118	1189.012	1161.44	1182.02	29.58	34772.58	1175.71
2017-02-28 00:00:00	1186.366	1198.223	1169.053	1174.083	52.51	62010.53	1180.9
2017-03-01 00:00:00	1177.298	1222.792	1172.983	1216.586	37.5	44879.71	1196.73
2017-03-02 00:00:00	1216.586	1267.152	1202.996	1246.306	49.65	61359.11	1235.94
2017-03-03 00:00:00	1245.072	1283.652	1241.17	1276.475	35.67	45082.71	1264.04
2017-03-04 00:00:00	1274.261	1280.18	1224.048	1255.964	28.65	35877.68	1252.45
2017-03-05 00:00:00	1255.964	1269.362	1230.743	1268.458	19.11	23949.49	1252.99
2017-03-06 00:00:00	1267.703	1274.545	1257.433	1267.773	42.42	53794.31	1268.1
2017-03-07 00:00:00	1263.664	1270.607	1159.659	1223.523	85.22	103808.41	1218.11
2017-03-08 00:00:00	1223.832	1233.463	1135.715	1137.042	58.61	68976.35	1176.89
2017-03-09 00:00:00	1136.148	1199.087	1126.273	1183.114	44.41	51850.16	1167.49
2017-03-10 00:00:00	1183.114	1352.01	998.293	1100.491	198.79	226282.45	1138.28
2017-03-11 00:00:00	1100.491	1189.707	1095.668	1164.837	66.13	76391.51	1155.18
2017-03-12 00:00:00	1163.098	1220.504	1155.435	1214.445	47.84	56821.46	1187.69
2017-03-13 00:00:00	1212.655	1244.677	1159.486	1233.791	82.71	100860.37	1219.37
2017-03-14 00:00:00	1232.085	1254.246	1215.618	1244.567	36.07	44585.71	1236.25
2017-03-15 00:00:00	1240.657	1263.413	1237.399	1257.669	36.93	46005.24	1245.72
2017-03-16 00:00:00	1253.21	1260.681	1122.262	1173.683	131.18	156582.2	1193.63
2017-03-17 00:00:00	1163.709	1167.754	1050.443	1073.022	178.15	197768.63	1110.12
2017-03-18 00:00:00	1073.022	1092.681	935.275	964.399	198.39	199617	1006.19
2017-03-19 00:00:00	964.978	1059.94	964.978	1016.905	122.12	123367.11	1010.2
2017-03-20 00:00:00	1016.904	1057.522	1009.222	1040.158	57.58	59675.8	1036.4
2017-03-21 00:00:00	1040.158	1126.369	1037.78	1118.345	92.53	100934.43	1090.79
2017-03-22 00:00:00	1118.345	1121.354	990.804	1036.594	115.71	120979.72	1045.58
2017-03-23 00:00:00	1042.618	1059.449	1006.503	1034.167	50.43	52482.77	1040.63
2017-03-24 00:00:00	1034.996	1040.512	931.931	942.141	156.6	153949.32	983.06
2017-03-25 00:00:00	942.141	980.51	900.9	972.972	145.16	135921.73	936.36
2017-03-26 00:00:00	972.972	1008.831	951.951	962.007	77.99	76236.27	977.48
2017-03-27 00:00:00	964.319	1047.046	958.969	1041.89	85.74	86925.51	1013.79
2017-03-28 00:00:00	1044.043	1067.066	1017.016	1043.442	65.07	68001.93	1045
2017-03-29 00:00:00	1043.442	1059.028	1017.808	1042.041	45.95	47673.98	1037.47
